category,canonical,aliases
Programming Language,Python,"Python Skill, Python Expert, Python Dev"
Programming Language,Java,"Java Skill, Java Expert, Java Dev"
Programming Language,JavaScript,"JavaScript Skill, JavaScript Expert, JavaScript Dev"
Programming Language,TypeScript,"TypeScript Skill, TypeScript Expert, TypeScript Dev"
Programming Language,C,"C Skill, C Expert, C Dev"
Programming Language,C++,"CPP, C++ Skill, C++ Expert"
Programming Language,C#,"CS, C# Skill, C# Expert"
Programming Language,Go,"Go Skill, Go Expert, Go Dev"
Programming Language,Rust,"Rust Skill, Rust Expert, Rust Dev"
Programming Language,Ruby,"Ruby Skill, Ruby Expert, Ruby Dev"
Programming Language,PHP,"PHP Skill, PHP Expert, PHP Dev"
Programming Language,Swift,"Swift Skill, Swift Expert, Swift Dev"
Programming Language,Kotlin,"Kotlin Skill, Kotlin Expert, Kotlin Dev"
Programming Language,Scala,"Scala Skill, Scala Expert, Scala Dev"
Programming Language,R,"R Skill, R Expert, R Dev"
Programming Language,MATLAB,"MATLAB Skill, MATLAB Expert, MATLAB Dev"
Programming Language,Julia,"Julia Skill, Julia Expert, Julia Dev"
Programming Language,Perl,"Perl Skill, Perl Expert, Perl Dev"
Programming Language,Lua,"Lua Skill, Lua Expert, Lua Dev"
Programming Language,Dart,"Dart Skill, Dart Expert, Dart Dev"
Programming Language,Objective-C,"OC, Objective-C Skill, Objective-C Expert"
Programming Language,Groovy,"Groovy Skill, Groovy Expert, Groovy Dev"
Programming Language,Haskell,"Haskell Skill, Haskell Expert, Haskell Dev"
Programming Language,Erlang,"Erlang Skill, Erlang Expert, Erlang Dev"
Programming Language,Elixir,"Elixir Skill, Elixir Expert, Elixir Dev"
Programming Language,Clojure,"Clojure Skill, Clojure Expert, Clojure Dev"
Programming Language,F#,"FS, F# Skill, F# Expert"
Programming Language,Visual Basic .NET,"VBN, Visual Basic .NET Skill, Visual Basic .NET Expert"
Programming Language,VBScript,"VBScript Skill, VBScript Expert, VBScript Dev"
Programming Language,PowerShell,"PowerShell Skill, PowerShell Expert, PowerShell Dev"
Programming Language,Bash,"Bash Skill, Bash Expert, Bash Dev"
Programming Language,Shell Scripting,"SS, Shell Scripting Skill, Shell Scripting Expert"
Programming Language,SQL,"SQL Skill, SQL Expert, SQL Dev"
Programming Language,PL/SQL,"PS, PL/SQL Skill, PL/SQL Expert"
Programming Language,T-SQL,"TS, T-SQL Skill, T-SQL Expert"
Programming Language,HTML,"HTML Skill, HTML Expert, HTML Dev"
Programming Language,CSS,"CSS Skill, CSS Expert, CSS Dev"
Programming Language,Sass,"Sass Skill, Sass Expert, Sass Dev"
Programming Language,Less,"Less Skill, Less Expert, Less Dev"
Programming Language,XML,"XML Skill, XML Expert, XML Dev"
Programming Language,JSON,"JSON Skill, JSON Expert, JSON Dev"
Programming Language,YAML,"YAML Skill, YAML Expert, YAML Dev"
Programming Language,TOML,"TOML Skill, TOML Expert, TOML Dev"
Programming Language,Markdown,"Markdown Skill, Markdown Expert, Markdown Dev"
Programming Language,Solidity,"Solidity Skill, Solidity Expert, Solidity Dev"
Programming Language,Vyper,"Vyper Skill, Vyper Expert, Vyper Dev"
Programming Language,Move,"Move Skill, Move Expert, Move Dev"
Programming Language,Cairo,"Cairo Skill, Cairo Expert, Cairo Dev"
Programming Language,Apex,"Apex Skill, Apex Expert, Apex Dev"
Programming Language,ABAP,"ABAP Skill, ABAP Expert, ABAP Dev"
Programming Language,COBOL,"COBOL Skill, COBOL Expert, COBOL Dev"
Programming Language,Fortran,"Fortran Skill, Fortran Expert, Fortran Dev"
Programming Language,Assembly Language,"AL, Assembly Language Skill, Assembly Language Expert"
Programming Language,WebAssembly,"WebAssembly Skill, WebAssembly Expert, WebAssembly Dev"
Programming Language,Racket,"Racket Skill, Racket Expert, Racket Dev"
Programming Language,Scheme,"Scheme Skill, Scheme Expert, Scheme Dev"
Programming Language,Common Lisp,"CL, Common Lisp Skill, Common Lisp Expert"
Programming Language,Prolog,"Prolog Skill, Prolog Expert, Prolog Dev"
Programming Language,Smalltalk,"Smalltalk Skill, Smalltalk Expert, Smalltalk Dev"
Programming Language,Delphi,"Delphi Skill, Delphi Expert, Delphi Dev"
Programming Language,Pascal,"Pascal Skill, Pascal Expert, Pascal Dev"
Programming Language,Ada,"Ada Skill, Ada Expert, Ada Dev"
Programming Language,D,"D Skill, D Expert, D Dev"
Programming Language,Nim,"Nim Skill, Nim Expert, Nim Dev"
Programming Language,Crystal,"Crystal Skill, Crystal Expert, Crystal Dev"
Programming Language,Zig,"Zig Skill, Zig Expert, Zig Dev"
Programming Language,OCaml,"OCaml Skill, OCaml Expert, OCaml Dev"
Programming Language,ReasonML,"ReasonML Skill, ReasonML Expert, ReasonML Dev"
Programming Language,Elm,"Elm Skill, Elm Expert, Elm Dev"
Programming Language,PureScript,"PureScript Skill, PureScript Expert, PureScript Dev"
Programming Language,CoffeeScript,"CoffeeScript Skill, CoffeeScript Expert, CoffeeScript Dev"
Programming Language,ActionScript,"ActionScript Skill, ActionScript Expert, ActionScript Dev"
Programming Language,ColdFusion Markup Language,"CML, ColdFusion Markup Language Skill, ColdFusion Markup Language Expert"
Programming Language,Haxe,"Haxe Skill, Haxe Expert, Haxe Dev"
Programming Language,Tcl,"Tcl Skill, Tcl Expert, Tcl Dev"
Programming Language,awk,"awk Skill, awk Expert, awk Dev"
Programming Language,sed,"sed Skill, sed Expert, sed Dev"
Programming Language,Jinja,"Jinja Skill, Jinja Expert, Jinja Dev"
Programming Language,Liquid,"Liquid Skill, Liquid Expert, Liquid Dev"
